"id","title","year","language","authors"
"hvd.32044012135182","Guerras pir?ticas de Filipinas contra mindanaos y joloanos : corr. ? ilustradas por don Vicente Barrantes.","1878","spa","Barrantes, Vicente 1829-1898"
"uc1.$b196871","Los misioneros en Filipinas, sus relaciones con la civilizacio?n y dominacio?n espan?ola.","1895","spa",""
"uc1.$b52617","Arti?culos varios sobre etnografi?a, historia y costumbres de Filipinas. Con un pro?logo cri?tico de D. Cesareo Blanco y Sierra ...","1888","spa",""
"miun.acg8363.0001.001","Los frailes de Filipinas : breves consideraciones de actualidad escritas por un Espa?ol peninsular / Baltasar Giraudier.","1888","spa","Giraudier, Baltasar"
"yale.39002044556935","Historia general de Filipinas desde el descubrimiento de dichas islas hasta nuestras d?as, por D. Jos? Montero y Vidal ...","1895","spa","Montero y Vidal, Jos?"
"hvd.hnnh75","Apuntes geogr?ficos de las islas Filipinas, escritos sobre el terreno, por Enrique Mhartin y Guix ...","1889","spa",""
"hvd.32044009842055","Colonizaci?n de Filipinas : estudios pr?cticos acerca de la colonizaci?n con elementos peninsulares, de nuestras posesiones oce?nicas / rese?a geogrf?ico-geol?gico-minera de las mismas por J. N. Aguilar, con un pr?logo de D. Ar?stides Saenz de Urraca.","1893","spa","Nieto Aguila, Jos?; Saenz de Urraca, Aristides"
"coo.31924023985512","El filibustero (novela corta filipina) / con un ape?ndice por W.E. Retana.","1893","spa","Ferna?ndez Lo?pez, Ventura"
"hvd.hnnh5p","Filipinas.","1880","spa","Vila, Francisco"
"hvd.32044106342280","Memoria descriptiva de la provincia de Manila.","1880","spa","Ugaldezubiaur, Santiago"
"hvd.hnsvcq","Los frailes en Filipinas.","1872","spa","Lallave, Manrique Alonso"
"miun.aaw3613.0001.001","Viajes por Filipinas de Manila a Marianas/ Juan Alvarez Guerra.","1887","spa","Alvarez Guerra, Juan 1770-1845"
"hvd.32044004449427","Paralelo entre la conquista y dominaci?n de Am?rica y el descubrimiento y pacificaci?n de Filipinas, por el padre fr. Evaristo Fern?ndez Arias. Memoria laureada ...","1893","spa","Fern?ndez Arias, Evaristo 1854-1908"
"uc1.31822038212049","Derrotero de la navegacion a? las islas Filipinas : con los viages de ida y vuelta a? aquellas islas en ambas mozones, y la descripcion de las islas de Sonda, Molucas ... / por ... Antonio Maestre y Can?amares","1862","spa",""
"miun.ajt5952.0001.001","[Documentos in?ditos] de las islas Filipinas.","1887","spa","Salas y Rodriguez, Francisco Javier de d. 1890"
"hvd.hnqxlg","Filipinas; cosas de all? (p?ginas literarias) por W. E. Retana.","1893","spa","Retana, W. E. (Wenceslao Emilio) 1862-1924"
