"id","title","year","language","authors"
"uc1.b4597339","La trayectoria hospitalaria de la armada espa?ola","1944","spa","Consejo superior de investigaciones cient?ficas (Spain) Instituto hist?rico de marina"
"mdp.39015016757547","Espa?a, 1898: [Cuba y Filipinas]","1959","spa","Fern?ndez-R?a, Jos? Luis"
"mdp.39015012832641","Intramuros de Manila de 1571 hasta su destrucci?n en 1945.","1958","spa","Ortiz Armengol, Pedro"
"uc1.b2856505","Heroes de la epopeya ; el obispo de Teruel / P.A. del Fueyo.","1941","spa","Fueyo, Amador del"
"uc1.31822037842754","Ma?rtires dominicos de la cruzada espan?ola / por Luis Alonso Getino ; [introduction by Felipe M.a Castro]","1950","spa","Getino, Luis G. A"
"uc1.$b15397","La idea de imperio en la pol?tica y la literatura espa?olas, por Ricardo del Arco y Garay ...","1944","spa","Arco, Ricardo del 1888-"
"txu.059173022923129","Los primeros tiempos de la colonizacio?n ; Cuba y las Antillas ; Magallanes y la primera vuelta al mundo / Amando Melo?n y Ruiz de Gordejuela.","1952","spa","Melo?n y Ruiz de Gordejuela, Amando; Ballesteros Beretta, Antonio; Melo?n y Ruiz de Gordejuela, Amando; Melo?n y Ruiz de Gordejuela, Amando"
"mdp.39015013166023","Filipinas, heredera privilegiada ,dec?a ayer... digo hoy... : conferencia pronunciada en el C?rculo Filipino de Madrid el d?a 30 Enero de 1954.","1954","spa","Gurrea Monasterio, Adelina"
"mdp.39015016574231","Arquitectura espa?ola en Filipinas (1565-1800) Prologo del Excmo. Sr. Dr. D. Diego Angulo I?iguez.","1959","spa","D?az-Trechuelo Sp?nola, Mar?a Lourdes"
"wu.89106392608","Hospital de San La?zaro; autobiografi?a novelesca.","1953","spa",""
"mdp.39015019943193","Los primeros tiempos de la colonizacio?n ; Cuba y las Antillas ; Magallanes y la primera vuelta al mundo / Amando Melo?n y Ruiz de Gordejuela.","1952","spa","Melo?n y Ruiz de Gordejuela, Amando; Ballesteros Beretta, Antonio; Melo?n y Ruiz de Gordejuela, Amando; Melo?n y Ruiz de Gordejuela, Amando"
"mdp.39015035050064","Filipinas: auto histo?rico-sati?rico, original. Estrenado el 13 de junio de 1954, en el Aula Magna de la Universidad de Valladolid, Espan?a, con motivo de la Peregrinacio?n Filipina al Altar de la Virgen de Antipolo, en el Santuario Nacional de la Gran Promesa. Portada de Antonio de la Fuente.","1954","spa","Gurrea, Adelina"
"mdp.39015047635480","Expediciones espan?olas, siglo XIX. Pro?logo del Excmo. Sr. Conde de Romanones.","1949","spa","Esteban-Infantes, Emilio b. 1892"
"mdp.39015063595766","Bosquejo historico de la medicina hispana-filipina.","1952","spa","Bantug, Jos? Policarpio 1884-"
